"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8138","Login with Empty credentials","chromium","2026-06-25","passed","2026-06-25","Login Functionality Tests","LoginPageTest.spec.js","",""
"","20357","Login with valid credentials","chromium","2026-06-25","passed","2026-06-25","Login Functionality Tests","LoginPageTest.spec.js","",""
